epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-Precision@25,cos_sim-Recall@25,cos_sim-Precision@50,cos_sim-Recall@50,cos_sim-Precision@100,cos_sim-Recall@100,cos_sim-MRR@36,cos_sim-NDCG@36,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@10,dot_score-Recall@10,dot_score-Precision@25,dot_score-Recall@25,dot_score-Precision@50,dot_score-Recall@50,dot_score-Precision@100,dot_score-Recall@100,dot_score-MRR@36,dot_score-NDCG@36,dot_score-MAP@100
0,-1,0.2938496583143508,0.4339407744874715,0.4817767653758542,0.5592255125284739,0.1685649202733485,0.2748138400778903,0.1008656036446469,0.3580465301978749,0.0638268792710706,0.4223863186706679,0.0377790432801822,0.4836857952229834,0.3814168985464166,0.322761780564685,0.2393707500403942,0.2938496583143508,0.4339407744874715,0.4817767653758542,0.5592255125284739,0.1685649202733485,0.2748138400778903,0.1008656036446469,0.3580465301978749,0.0638268792710706,0.4223863186706679,0.0377790432801822,0.4836857952229834,0.3814168985464166,0.322761780564685,0.2393707500403942
1,-1,0.3439635535307517,0.489749430523918,0.5432801822323462,0.5888382687927107,0.1914578587699316,0.3075033290483681,0.1189521640091116,0.4110424022148444,0.0749430523917995,0.4836325423637932,0.043883826879271,0.5545624206464836,0.4337980919758947,0.3739764633701802,0.2841312343777575,0.3439635535307517,0.489749430523918,0.5432801822323462,0.5888382687927107,0.1914578587699316,0.3075033290483681,0.1189521640091116,0.4110424022148444,0.0749430523917995,0.4836325423637932,0.043883826879271,0.5545624206464836,0.4337980919758947,0.3739747959290205,0.2841284428283359
2,-1,0.3644646924829157,0.5068337129840547,0.5649202733485194,0.6195899772209568,0.2067198177676537,0.3276335861442617,0.1290205011389521,0.4462151916446856,0.0806833712984054,0.5274620622088496,0.0469817767653758,0.5990203780636187,0.4541062165391815,0.4010022796198362,0.3034412555834755,0.3644646924829157,0.5056947608200456,0.5649202733485194,0.6195899772209568,0.2067198177676537,0.3276335861442617,0.1290205011389521,0.4462151916446856,0.0806833712984054,0.5274620622088496,0.0469817767653758,0.5990203780636187,0.4540113038588476,0.4009835695694574,0.3034290525245755
3,-1,0.3621867881548975,0.5148063781321185,0.5671981776765376,0.6241457858769932,0.220501138952164,0.343251602148395,0.1363553530751708,0.4710062414732497,0.084760820045558,0.549317213373617,0.0487471526195899,0.6147763662802097,0.4555400471246,0.4126378135731649,0.315140119150436,0.3621867881548975,0.5148063781321185,0.5671981776765376,0.6241457858769932,0.220501138952164,0.343251602148395,0.1363553530751708,0.4710062414732497,0.084760820045558,0.549317213373617,0.0487471526195899,0.6147763662802097,0.4555400471246,0.4126378135731649,0.3151399435488073
4,-1,0.3963553530751708,0.530751708428246,0.5694760820045558,0.6332574031890661,0.2330296127562642,0.3639267246467583,0.1418223234624145,0.4911749901215977,0.0879498861047836,0.5763789261677321,0.05001138952164,0.6413799630038177,0.4785611493726017,0.4366898235617059,0.3398344961843679,0.3963553530751708,0.530751708428246,0.5694760820045558,0.6332574031890661,0.2330296127562642,0.3639267246467583,0.1418223234624145,0.4911749901215977,0.0879498861047836,0.5763789261677321,0.05001138952164,0.6413799630038177,0.4785611493726017,0.436708381837896,0.3398555878911088
5,-1,0.398633257403189,0.5478359908883826,0.5888382687927107,0.6526195899772209,0.2411161731207289,0.3822086231233525,0.1446013667425968,0.5046523653507711,0.0883143507972665,0.5833870056251744,0.0502391799544419,0.6477664549705501,0.4884805988064796,0.4467821010449811,0.3494000294789554,0.398633257403189,0.5478359908883826,0.5888382687927107,0.6526195899772209,0.2411161731207289,0.3822086231233525,0.1446013667425968,0.5046523653507711,0.0883143507972665,0.5833870056251744,0.0502391799544419,0.6477664549705501,0.4884805988064796,0.4467814968115468,0.3493974147810871
6,-1,0.4077448747152619,0.5489749430523918,0.5933940774487472,0.6480637813211845,0.2400911161731207,0.3855898007419235,0.1454214123006833,0.5026752266769782,0.0906605922551253,0.5895738102537287,0.0512300683371298,0.6509742449047329,0.4928935829035174,0.4518599490186492,0.3567765432578634,0.4077448747152619,0.5489749430523918,0.5933940774487472,0.6480637813211845,0.2400911161731207,0.3855898007419235,0.1454214123006833,0.5026752266769782,0.0906605922551253,0.5895738102537287,0.0512300683371298,0.6509742449047329,0.4928809278794728,0.4518610433550984,0.3567835035210879
7,-1,0.4202733485193622,0.5626423690205011,0.6013667425968109,0.6548974943052391,0.2444191343963553,0.3887720506221421,0.149384965831435,0.5162055594321487,0.0923006833712984,0.6019234051062895,0.0522665148063781,0.6671255296969306,0.5045678629537194,0.4647762730704892,0.3683967102205289,0.4202733485193622,0.5626423690205011,0.6013667425968109,0.6548974943052391,0.2444191343963553,0.3887720506221421,0.149384965831435,0.5162055594321487,0.0923006833712984,0.6019234051062895,0.0522665148063781,0.6671255296969306,0.5045678629537194,0.4647748190462352,0.3683924346653453
8,-1,0.4054669703872437,0.5580865603644647,0.6070615034168565,0.664009111617312,0.2428246013667425,0.390268765435991,0.1483371298405467,0.5192597312682184,0.0909339407744874,0.5966851038441878,0.051628701594533,0.6574231623051349,0.4964065885143396,0.45786084003676,0.3593806779162089,0.4054669703872437,0.5580865603644647,0.6070615034168565,0.664009111617312,0.2429384965831435,0.3903953156764365,0.1483371298405467,0.5192597312682184,0.0909339407744874,0.5966851038441878,0.051628701594533,0.6574231623051349,0.4964065885143396,0.4578532745735909,0.3593631856163737
9,-1,0.398633257403189,0.5444191343963554,0.6059225512528473,0.6617312072892938,0.2471526195899772,0.3949242543992128,0.1498405466970387,0.5198520163634619,0.0923917995444191,0.6002081339970518,0.0525740318906605,0.6731097834776244,0.4910302887436648,0.4571763789047322,0.359246019740376,0.398633257403189,0.5444191343963554,0.6059225512528473,0.6617312072892938,0.2472665148063781,0.3949609947916002,0.1498405466970387,0.5198520163634619,0.0923917995444191,0.6002081339970518,0.0525740318906605,0.6731097834776244,0.4908404633829965,0.4571439832633326,0.3592278345221877
10,-1,0.4191343963553531,0.5523917995444191,0.6161731207289294,0.6674259681093394,0.2506833712984055,0.4021529065653866,0.1517995444191344,0.5242967941869605,0.0926879271070615,0.603522462462655,0.0527790432801822,0.6633684287136017,0.504783794653442,0.4682237850598441,0.3715135797930821,0.4191343963553531,0.5523917995444191,0.6161731207289294,0.6674259681093394,0.2506833712984055,0.4021529065653866,0.1517995444191344,0.5242967941869605,0.0926879271070615,0.603522462462655,0.0527790432801822,0.6633684287136017,0.504783794653442,0.4682071996072874,0.3714830771124818
11,-1,0.4100227790432801,0.5353075170842825,0.5899772209567198,0.6503416856492027,0.2462414578587699,0.3978491902674017,0.15125284738041,0.5294395440769187,0.0928246013667426,0.6084445147565142,0.0525626423690205,0.668920838361264,0.4931340393092738,0.4670520473583998,0.3723316027165382,0.4100227790432801,0.5353075170842825,0.5899772209567198,0.6503416856492027,0.2462414578587699,0.3978491902674017,0.15125284738041,0.5294395440769187,0.0928246013667426,0.6084445147565142,0.0525626423690205,0.668920838361264,0.4931340393092738,0.4670555962029344,0.3723382550676141
