epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-Precision@25,cos_sim-Recall@25,cos_sim-Precision@50,cos_sim-Recall@50,cos_sim-Precision@100,cos_sim-Recall@100,cos_sim-MRR@36,cos_sim-NDCG@36,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@10,dot_score-Recall@10,dot_score-Precision@25,dot_score-Recall@25,dot_score-Precision@50,dot_score-Recall@50,dot_score-Precision@100,dot_score-Recall@100,dot_score-MRR@36,dot_score-NDCG@36,dot_score-MAP@100
0,-1,0.2357630979498861,0.3416856492027335,0.3849658314350797,0.4248291571753986,0.1339407744874715,0.1984912357696643,0.084510250569476,0.2676760935585967,0.0533485193621867,0.3207103831170409,0.0313097949886104,0.3737823228281779,0.3007589938960951,0.2443369385002969,0.1768769164563257,0.2209567198177676,0.3291571753986332,0.3735763097949886,0.4157175398633257,0.1291571753986332,0.188005647187119,0.0826423690205011,0.2599082541100923,0.0528929384965831,0.3190311385425416,0.0310250569476082,0.369358914207393,0.287791905504773,0.2360217037701789,0.1687838032754801
1,-1,0.2995444191343963,0.4225512528473804,0.4681093394077448,0.5136674259681093,0.1732346241457859,0.2600926926084495,0.1120728929384966,0.3685325670185633,0.0707061503416856,0.4422683478119717,0.0412186788154897,0.5078358964852893,0.374987346110731,0.3250126940652716,0.2404002990401101,0.285876993166287,0.4066059225512528,0.4453302961275626,0.5091116173120729,0.1707289293849658,0.2545290412310108,0.1101594533029612,0.3576546910321231,0.0698405466970387,0.434132466645094,0.0406833712984054,0.4988638630612441,0.3625237642104995,0.3173926732856802,0.2344970997372304
2,-1,0.3246013667425968,0.4681093394077448,0.5148063781321185,0.5751708428246014,0.1915717539863325,0.30391544166815,0.1238268792710706,0.4212883814911152,0.0768109339407744,0.4949019520742421,0.044384965831435,0.5581098443068065,0.4101619714823299,0.3663025996419663,0.2746102497833181,0.3314350797266515,0.4578587699316628,0.510250569476082,0.570615034168565,0.1878132118451025,0.2967629635347191,0.1222323462414578,0.4148529620258254,0.0761047835990888,0.4867963039991182,0.0441230068337129,0.5537265982244833,0.4112328447446814,0.3625520937954834,0.2697429557979753
3,-1,0.3633257403189066,0.4863325740318907,0.5375854214123007,0.5865603644646925,0.2072892938496583,0.3314085293458504,0.1310706150341685,0.4518481246655375,0.0813895216400911,0.5287913375689975,0.0465261958997722,0.589473995869598,0.4407878438539174,0.4013066386371803,0.3094698012172619,0.3667425968109339,0.4886104783599089,0.5296127562642369,0.5774487471526196,0.2072892938496583,0.3272009568582351,0.1303416856492027,0.4479344096843063,0.0811845102505694,0.5283159710810236,0.0462870159453302,0.5863015651133289,0.4412312879058263,0.3965269938354228,0.3021126679135345
4,-1,0.3587699316628701,0.5011389521640092,0.5364464692482915,0.5842824601366743,0.2145785876993166,0.3388481591066384,0.1327107061503417,0.4574360077756705,0.0821867881548975,0.5417677512908557,0.0468678815489749,0.6047473671383987,0.4422006491292986,0.4054940446332145,0.3143759735273537,0.3656036446469248,0.4988610478359909,0.5341685649202733,0.592255125284738,0.2142369020501139,0.3357976845414276,0.1321640091116173,0.4523257502361857,0.0816628701594533,0.5349632392744232,0.046879271070615,0.60528695403485,0.4450211753506487,0.4032572222733177,0.3105477084852212
5,-1,0.3747152619589977,0.5091116173120729,0.5455580865603644,0.6082004555808656,0.2197038724373576,0.3534653433091928,0.1340318906605922,0.4689607770663466,0.0821640091116173,0.5436800198842532,0.0475284738041002,0.6134647359488014,0.4536974192978238,0.4148331106499652,0.3241961784095165,0.3621867881548975,0.5011389521640092,0.5558086560364465,0.6104783599088838,0.2194760820045558,0.3500298324034875,0.1340774487471526,0.4653662942404136,0.0824601366742597,0.5458730888703207,0.0476082004555808,0.6110052496131505,0.449068699747239,0.4116758811949733,0.3205466050818464
6,-1,0.3735763097949886,0.5125284738041003,0.5501138952164009,0.5968109339407744,0.2199316628701594,0.3575979024963375,0.1353075170842824,0.4697429062879571,0.0831890660592255,0.5459288106262524,0.0477448747152619,0.6082414068810779,0.4549156821557478,0.4200655375193108,0.331255006647742,0.3747152619589977,0.5079726651480638,0.55125284738041,0.6002277904328018,0.2201594533029613,0.3555421675500424,0.135626423690205,0.4688712114293209,0.0833029612756264,0.5479273929681595,0.0476537585421412,0.6075144702232171,0.4548283511906276,0.4174788908716767,0.327938464235908
7,-1,0.3861047835990888,0.5159453302961275,0.5603644646924829,0.6184510250569476,0.2289293849658314,0.3686426339811496,0.1403189066059225,0.4906116130893366,0.0855580865603644,0.5633826571618268,0.0487699316628701,0.6262625837706234,0.4675984126444052,0.4342286155133844,0.3439649758288278,0.3974943052391799,0.5250569476082004,0.5649202733485194,0.6116173120728929,0.2276765375854214,0.3636714952769329,0.1392710706150341,0.4826293891213448,0.0857175398633257,0.5595138858992816,0.0488382687927107,0.6267231246348255,0.4742926147793339,0.4334408673360046,0.3432721034907951
8,-1,0.3724373576309795,0.5125284738041003,0.5558086560364465,0.6127562642369021,0.2257403189066059,0.3627962233040916,0.1392255125284738,0.4862441184456578,0.0862414578587699,0.565087564249591,0.0494988610478359,0.6281755313424995,0.4565355196604584,0.42966545940869,0.338115189657709,0.3678815489749431,0.5113895216400911,0.5501138952164009,0.6082004555808656,0.2244874715261959,0.3597642415494874,0.1389521640091116,0.4848757171192569,0.086879271070615,0.5658787096807087,0.049498861047836,0.6282723116779849,0.4526707208704789,0.4272258038457273,0.3358086597175049
9,-1,0.4031890660592255,0.5432801822323462,0.5831435079726651,0.6287015945330297,0.2310933940774487,0.3768161806211274,0.1405466970387243,0.4951252849428828,0.0863553530751708,0.5679320819159819,0.0491457858769931,0.6334127623883721,0.4856351801594719,0.4427920067973117,0.3512686923876166,0.3906605922551253,0.5353075170842825,0.5797266514806378,0.6355353075170843,0.2325740318906606,0.3782009046974535,0.1404555808656036,0.4921915047391444,0.086378132118451,0.5690317753026947,0.0491002277904328,0.6318075601192756,0.4777943008966547,0.4400540391717021,0.3479089091722434
